src/mka/MKA.java:3:	Possible God class (WMC=126, ATFD=610, TCC=0.08333333333333333)
src/mka/MKA.java:31:	Avoid duplicate imports such as 'java.io.IOException'
src/mka/MKA.java:34:	Avoid unused imports such as 'java.net.UnknownHostException'
src/mka/MKA.java:36:	Avoid really long classes.
src/mka/MKA.java:36:	Avoid short class names like MKA
src/mka/MKA.java:36:	The class 'MKA' has a Cyclomatic Complexity of 9 (Highest = 41).
src/mka/MKA.java:36:	The class 'MKA' has a Modified Cyclomatic Complexity of 9 (Highest = 37).
src/mka/MKA.java:36:	The class 'MKA' has a Standard Cyclomatic Complexity of 9 (Highest = 37).
src/mka/MKA.java:36:	Too many fields
src/mka/MKA.java:36:	headerCommentRequirement Required
src/mka/MKA.java:38:	This class has too many methods, consider refactoring it.
src/mka/MKA.java:40:	Avoid variables with short names like s
src/mka/MKA.java:40:	fieldCommentRequirement Required
src/mka/MKA.java:42:	fieldCommentRequirement Required
src/mka/MKA.java:44:	Avoid using redundant field initializer for 'flag'
src/mka/MKA.java:44:	fieldCommentRequirement Required
src/mka/MKA.java:45:	Avoid using redundant field initializer for 'frameflag'
src/mka/MKA.java:45:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:45:	fieldCommentRequirement Required
src/mka/MKA.java:47:	Avoid using redundant field initializer for 'aflag'
src/mka/MKA.java:47:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:47:	fieldCommentRequirement Required
src/mka/MKA.java:48:	Avoid using redundant field initializer for 'aboutflag'
src/mka/MKA.java:48:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:48:	fieldCommentRequirement Required
src/mka/MKA.java:50:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:50:	fieldCommentRequirement Required
src/mka/MKA.java:53:	Avoid excessively long variable names like mouseDownCompCoords
src/mka/MKA.java:53:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:53:	fieldCommentRequirement Required
src/mka/MKA.java:54:	Avoid variables with short names like cp
src/mka/MKA.java:54:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:54:	fieldCommentRequirement Required
src/mka/MKA.java:55:	Avoid variables with short names like mp
src/mka/MKA.java:55:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:55:	fieldCommentRequirement Required
src/mka/MKA.java:56:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:56:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:56:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:56:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:56:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:56:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:56:	fieldCommentRequirement Required
src/mka/MKA.java:57:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:57:	fieldCommentRequirement Required
src/mka/MKA.java:58:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:58:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:58:	fieldCommentRequirement Required
src/mka/MKA.java:59:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:59:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:59:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:59:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:59:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:59:	fieldCommentRequirement Required
src/mka/MKA.java:60:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:60:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/mka/MKA.java:60:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:60:	fieldCommentRequirement Required
src/mka/MKA.java:63:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:63:	fieldCommentRequirement Required
src/mka/MKA.java:69:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:69:	fieldCommentRequirement Required
src/mka/MKA.java:71:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:71:	fieldCommentRequirement Required
src/mka/MKA.java:72:	Use explicit scoping instead of the default package private level
src/mka/MKA.java:72:	fieldCommentRequirement Required
